episode,S,W,B,eta,train_return,train_cv,eval_score,eval_A,eval_B_obs,eval_B_0.6,epsilon
1,1,0,1,0.0,-26.27,0.6265,,,,,0.998
2,1,0,1,0.0,-53.72,0.6535,,,,,0.996
3,0,1,0,0.043,-26.12,0.6375,,,,,0.994
4,1,0,1,0.0,-27.82,0.5843,,,,,0.992
5,0,0,0,0.0,-19.12,0.5371,,,,,0.989
6,0,1,1,0.105,-21.13,0.6027,,,,,0.987
7,1,0,1,0.0,-45.23,0.8417,,,,,0.985
8,1,1,0,0.761,-62.04,0.8359,,,,,0.983
9,0,1,1,0.723,-39.88,0.7082,,,,,0.981
10,1,1,0,0.7,-43.14,0.916,,,,,0.979
11,1,0,1,0.0,-34.79,0.7458,,,,,0.977
12,0,0,1,0.0,-17.67,0.53,,,,,0.975
13,1,0,0,0.0,-23.22,0.5338,,,,,0.972
14,0,1,0,0.81,-36.98,0.8112,,,,,0.97
15,1,1,0,0.256,-27.63,0.6528,,,,,0.968
16,1,0,1,0.0,-26.49,0.6208,,,,,0.966
17,1,1,0,0.654,-55.09,0.8716,,,,,0.964
18,0,0,1,0.0,-17.65,0.4824,,,,,0.962
19,0,1,1,0.71,-73.82,1.0678,,,,,0.96
20,0,0,0,0.0,-41.83,0.7821,,,,,0.958
21,0,1,0,0.599,-57.87,0.9167,,,,,0.955
22,0,0,1,0.0,-32.27,0.6617,,,,,0.953
23,1,0,1,0.0,-28.04,0.5781,,,,,0.951
24,0,1,1,0.576,-45.5,0.7775,,,,,0.949
25,0,1,1,0.523,-42.43,0.8262,,,,,0.947
26,1,1,0,1.268,-45.35,0.7768,,,,,0.945
27,0,0,0,0.0,-15.16,0.4634,,,,,0.943
28,0,0,0,0.0,-22.93,0.6051,,,,,0.941
29,1,1,0,1.213,-84.58,1.1811,,,,,0.938
30,0,1,0,1.215,-42.8,0.8436,,,,,0.936
31,0,0,1,0.0,-19.39,0.5118,,,,,0.934
32,1,1,0,0.017,-28.22,0.6599,,,,,0.932
33,1,1,0,0.623,-54.59,0.7816,,,,,0.93
34,0,0,0,0.0,-23.52,0.6059,,,,,0.928
35,0,0,0,0.0,-47.33,0.8459,,,,,0.926
36,1,1,0,1.083,-44.6,0.8624,,,,,0.923
37,0,0,0,0.0,-25.67,0.6116,,,,,0.921
38,1,1,1,0.585,-72.04,0.9036,,,,,0.919
39,1,1,0,0.032,-14.77,0.4746,,,,,0.917
40,1,1,1,0.062,-21.12,0.495,,,,,0.915
41,0,1,1,0.298,-46.26,0.8475,,,,,0.913
42,1,1,0,1.273,-57.41,0.9067,,,,,0.911
43,1,0,1,0.0,-22.5,0.5178,,,,,0.909
44,0,1,1,1.214,-53.6,0.7997,,,,,0.907
45,0,1,1,0.176,-40.53,0.7054,,,,,0.904
46,1,0,0,0.0,-20.15,0.5234,,,,,0.902
47,0,1,1,1.145,-53.8,0.7985,,,,,0.9
48,1,1,0,0.845,-46.56,0.8254,,,,,0.898
49,0,1,0,1.08,-48.03,0.8397,,,,,0.896
50,1,1,0,1.287,-41.98,0.8001,0.6375,0.5457,0.5984,0.7685,0.894
51,0,1,0,0.217,-26.02,0.6751,,,,,0.892
52,1,0,0,0.0,-22.99,0.5791,,,,,0.889
53,0,1,1,0.737,-44.22,0.8198,,,,,0.887
54,1,1,0,0.669,-41.78,0.8022,,,,,0.885
55,1,1,0,0.204,-15.12,0.4757,,,,,0.883
56,0,1,1,0.526,-40.35,0.7129,,,,,0.881
57,1,1,0,0.713,-43.7,0.9456,,,,,0.879
58,0,0,0,0.0,-19.56,0.541,,,,,0.877
59,1,1,1,1.158,-28.77,0.7294,,,,,0.875
60,1,0,1,0.0,-28.23,0.5322,,,,,0.872
61,1,0,0,0.0,-13.85,0.4478,,,,,0.87
62,0,1,0,0.724,-45.52,0.9353,,,,,0.868
63,1,1,0,0.78,-51.06,0.8388,,,,,0.866
64,1,0,1,0.0,-26.05,0.6735,,,,,0.864
65,0,0,0,0.0,-15.12,0.4602,,,,,0.862
66,1,0,1,0.0,-53.08,0.8102,,,,,0.86
67,1,0,1,0.0,-21.95,0.4939,,,,,0.858
68,0,0,1,0.0,-18.94,0.5505,,,,,0.856
69,1,0,1,0.0,-16.77,0.4872,,,,,0.853
70,0,1,1,0.255,-38.06,0.8051,,,,,0.851
71,0,1,0,0.031,-21.0,0.5646,,,,,0.849
72,0,0,1,0.0,-17.22,0.5143,,,,,0.847
73,0,1,0,0.709,-44.6,0.8519,,,,,0.845
74,0,1,1,0.253,-26.97,0.627,,,,,0.843
75,1,1,1,1.088,-64.58,1.0981,,,,,0.841
76,1,1,1,0.581,-30.16,0.6584,,,,,0.839
77,0,0,0,0.0,-12.77,0.3872,,,,,0.836
78,0,1,0,0.342,-24.98,0.6323,,,,,0.834
79,0,0,0,0.0,-17.12,0.4778,,,,,0.832
80,1,1,0,0.546,-40.06,0.7804,,,,,0.83
81,1,0,0,0.0,-19.65,0.5229,,,,,0.828
82,0,0,1,0.0,-18.26,0.516,,,,,0.826
83,0,0,0,0.0,-32.96,0.7107,,,,,0.824
84,1,1,0,0.968,-45.43,0.7876,,,,,0.821
85,1,1,1,0.209,-26.3,0.5949,,,,,0.819
86,1,1,0,1.184,-89.87,1.1147,,,,,0.817
87,0,0,0,0.0,-27.07,0.6125,,,,,0.815
88,0,1,0,0.671,-45.7,0.8419,,,,,0.813
89,0,0,1,0.0,-23.66,0.6084,,,,,0.811
90,0,1,0,1.146,-36.93,0.7769,,,,,0.809
91,1,1,1,0.118,-46.1,0.77,,,,,0.807
92,0,0,0,0.0,-21.15,0.528,,,,,0.804
