episode,S,W,B,eta,train_return,train_cv,eval_score,eval_A,eval_B_obs,eval_B_0.6,epsilon
1,1,0,1,0.0,-70.56,0.6265,,,,,0.998
2,1,0,1,0.0,-81.37,0.6535,,,,,0.996
3,0,1,0,0.043,-71.84,0.6375,,,,,0.994
4,1,0,1,0.0,-51.79,0.5843,,,,,0.992
5,0,0,0,0.0,-55.04,0.5371,,,,,0.989
6,0,1,1,0.105,-46.46,0.6027,,,,,0.987
7,1,0,1,0.0,-106.56,0.8417,,,,,0.985
8,1,1,0,0.761,-103.28,0.8359,,,,,0.983
9,0,1,1,0.723,-81.07,0.7082,,,,,0.981
10,1,1,0,0.7,-99.81,0.916,,,,,0.979
11,1,0,1,0.0,-89.98,0.7458,,,,,0.977
12,0,0,1,0.0,-39.14,0.53,,,,,0.975
13,1,0,0,0.0,-47.41,0.5338,,,,,0.972
14,0,1,0,0.81,-78.0,0.8112,,,,,0.97
15,1,1,0,0.256,-73.0,0.6528,,,,,0.968
16,1,0,1,0.0,-68.58,0.6227,,,,,0.966
17,1,1,0,0.654,-109.45,0.8766,,,,,0.964
18,0,0,1,0.0,-37.19,0.4824,,,,,0.962
19,0,1,1,0.71,-133.37,1.0657,,,,,0.96
20,0,0,0,0.0,-118.38,0.7744,,,,,0.958
21,0,1,0,0.599,-121.76,0.9167,,,,,0.955
22,0,0,1,0.0,-67.18,0.6601,,,,,0.953
23,1,0,1,0.0,-57.06,0.5792,,,,,0.951
24,0,1,1,0.576,-105.7,0.7775,,,,,0.949
25,0,1,1,0.523,-90.55,0.8328,,,,,0.947
26,1,1,0,1.268,-95.42,0.772,,,,,0.945
27,0,0,0,0.0,-41.84,0.4643,,,,,0.943
28,0,0,0,0.0,-59.7,0.6272,,,,,0.941
29,1,1,0,1.213,-144.38,1.1813,,,,,0.938
30,0,1,0,1.215,-88.06,0.8359,,,,,0.936
31,0,0,1,0.0,-44.71,0.4883,,,,,0.934
32,1,1,0,0.017,-70.88,0.6552,,,,,0.932
33,1,1,0,0.623,-95.67,0.7818,,,,,0.93
34,0,0,0,0.0,-62.19,0.5931,,,,,0.928
35,0,0,0,0.0,-110.44,0.809,,,,,0.926
36,1,1,0,1.083,-91.85,0.8596,,,,,0.923
37,0,0,0,0.0,-67.27,0.6055,,,,,0.921
38,1,1,1,0.585,-123.22,0.8917,,,,,0.919
39,1,1,0,0.032,-33.41,0.4553,,,,,0.917
40,1,1,1,0.062,-52.63,0.4859,,,,,0.915
41,0,1,1,0.298,-98.79,0.8386,,,,,0.913
42,1,1,0,1.273,-118.47,0.906,,,,,0.911
43,1,0,1,0.0,-53.67,0.4945,,,,,0.909
44,0,1,1,1.214,-113.47,0.8043,,,,,0.907
45,0,1,1,0.176,-83.39,0.7002,,,,,0.904
46,1,0,0,0.0,-50.66,0.5001,,,,,0.902
47,0,1,1,1.145,-89.35,0.7815,,,,,0.9
48,1,1,0,0.845,-100.45,0.8494,,,,,0.898
49,0,1,0,1.08,-107.86,0.8577,,,,,0.896
50,1,1,0,1.287,-80.89,0.7812,0.547,0.4476,0.482,0.7114,0.894
51,0,1,0,0.217,-48.95,0.6194,,,,,0.892
52,1,0,0,0.0,-50.56,0.5611,,,,,0.889
53,0,1,1,0.737,-94.98,0.8233,,,,,0.887
54,1,1,0,0.669,-83.89,0.7881,,,,,0.885
55,1,1,0,0.204,-33.83,0.4468,,,,,0.883
56,0,1,1,0.526,-80.0,0.7115,,,,,0.881
57,1,1,0,0.713,-86.06,0.946,,,,,0.879
58,0,0,0,0.0,-49.66,0.5378,,,,,0.877
59,1,1,1,1.158,-68.14,0.6927,,,,,0.875
60,1,0,1,0.0,-46.35,0.5073,,,,,0.872
61,1,0,0,0.0,-28.53,0.3831,,,,,0.87
62,0,1,0,0.724,-91.06,0.9154,,,,,0.868
63,1,1,0,0.78,-100.63,0.8711,,,,,0.866
64,1,0,1,0.0,-57.24,0.6616,,,,,0.864
65,0,0,0,0.0,-34.37,0.4579,,,,,0.862
66,1,0,1,0.0,-90.0,0.7407,,,,,0.86
67,1,0,1,0.0,-45.55,0.4721,,,,,0.858
68,0,0,1,0.0,-37.23,0.5388,,,,,0.856
69,1,0,1,0.0,-46.67,0.5218,,,,,0.853
70,0,1,1,0.255,-97.52,0.8155,,,,,0.851
71,0,1,0,0.031,-64.72,0.6094,,,,,0.849
