episode,S,W,B,eta,train_return,train_cv,eval_score,eval_A,eval_B_obs,eval_B_0.6,epsilon
1,1,0,1,0.0,-22.73,0.6265,,,,,0.998
2,1,0,1,0.0,-48.47,0.6535,,,,,0.996
3,0,1,0,0.043,-21.92,0.6375,,,,,0.994
4,1,0,1,0.0,-22.95,0.5843,,,,,0.992
5,0,0,0,0.0,-18.12,0.5371,,,,,0.989
6,0,1,1,0.105,-19.74,0.6027,,,,,0.987
7,1,0,1,0.0,-40.18,0.8417,,,,,0.985
8,1,1,0,0.761,-51.92,0.8359,,,,,0.983
9,0,1,1,0.723,-31.82,0.7082,,,,,0.981
10,1,1,0,0.7,-42.1,0.916,,,,,0.979
11,1,0,1,0.0,-30.22,0.7458,,,,,0.977
12,0,0,1,0.0,-16.72,0.53,,,,,0.975
13,1,0,0,0.0,-20.56,0.5338,,,,,0.972
14,0,1,0,0.81,-30.6,0.8112,,,,,0.97
15,1,1,0,0.256,-25.67,0.6528,,,,,0.968
16,1,0,1,0.0,-22.56,0.6243,,,,,0.966
17,1,1,0,0.654,-47.08,0.8823,,,,,0.964
18,0,0,1,0.0,-15.97,0.4824,,,,,0.962
19,0,1,1,0.71,-56.15,1.068,,,,,0.96
20,0,0,0,0.0,-39.8,0.7821,,,,,0.958
21,0,1,0,0.599,-50.36,0.9161,,,,,0.955
22,0,0,1,0.0,-29.92,0.6635,,,,,0.953
23,1,0,1,0.0,-26.31,0.585,,,,,0.951
24,0,1,1,0.576,-39.02,0.7775,,,,,0.949
25,0,1,1,0.523,-33.29,0.7981,,,,,0.947
26,1,1,0,1.268,-39.48,0.7687,,,,,0.945
27,0,0,0,0.0,-14.95,0.4748,,,,,0.943
28,0,0,0,0.0,-21.66,0.6165,,,,,0.941
29,1,1,0,1.213,-63.37,1.1738,,,,,0.938
30,0,1,0,1.215,-39.1,0.8533,,,,,0.936
31,0,0,1,0.0,-18.0,0.5107,,,,,0.934
32,1,1,0,0.017,-25.89,0.6713,,,,,0.932
33,1,1,0,0.623,-43.79,0.777,,,,,0.93
34,0,0,0,0.0,-18.78,0.5707,,,,,0.928
35,0,0,0,0.0,-39.69,0.8342,,,,,0.926
36,1,1,0,1.083,-38.08,0.8584,,,,,0.923
37,0,0,0,0.0,-22.41,0.6107,,,,,0.921
38,1,1,1,0.585,-59.82,0.9048,,,,,0.919
39,1,1,0,0.032,-10.19,0.4076,,,,,0.917
40,1,1,1,0.062,-18.27,0.506,,,,,0.915
41,0,1,1,0.298,-39.69,0.8434,,,,,0.913
42,1,1,0,1.273,-47.64,0.9038,,,,,0.911
43,1,0,1,0.0,-19.64,0.5113,,,,,0.909
44,0,1,1,1.214,-46.18,0.7984,,,,,0.907
45,0,1,1,0.176,-29.35,0.7092,,,,,0.904
46,1,0,0,0.0,-19.23,0.5183,,,,,0.902
47,0,1,1,1.145,-43.07,0.7861,,,,,0.9
48,1,1,0,0.845,-40.43,0.8285,,,,,0.898
49,0,1,0,1.08,-41.87,0.8505,,,,,0.896
50,1,1,0,1.287,-35.63,0.7937,0.6384,0.5477,0.5851,0.7825,0.894
51,0,1,0,0.217,-24.35,0.6763,,,,,0.892
52,1,0,0,0.0,-18.19,0.5814,,,,,0.889
53,0,1,1,0.737,-34.99,0.8251,,,,,0.887
54,1,1,0,0.669,-32.96,0.7851,,,,,0.885
55,1,1,0,0.204,-12.64,0.4553,,,,,0.883
56,0,1,1,0.526,-34.88,0.7147,,,,,0.881
57,1,1,0,0.713,-40.02,0.9401,,,,,0.879
58,0,0,0,0.0,-18.95,0.5425,,,,,0.877
59,1,1,1,1.158,-25.55,0.7362,,,,,0.875
60,1,0,1,0.0,-24.78,0.5553,,,,,0.872
61,1,0,0,0.0,-10.37,0.3887,,,,,0.87
62,0,1,0,0.724,-40.74,0.9461,,,,,0.868
63,1,1,0,0.78,-40.38,0.8381,,,,,0.866
64,1,0,1,0.0,-20.59,0.6663,,,,,0.864
65,0,0,0,0.0,-12.07,0.4419,,,,,0.862
66,1,0,1,0.0,-36.16,0.7271,,,,,0.86
67,1,0,1,0.0,-21.66,0.5307,,,,,0.858
68,0,0,1,0.0,-18.66,0.5682,,,,,0.856
69,1,0,1,0.0,-15.42,0.4851,,,,,0.853
70,0,1,1,0.255,-31.12,0.807,,,,,0.851
71,0,1,0,0.031,-20.07,0.5697,,,,,0.849
72,0,0,1,0.0,-16.18,0.5312,,,,,0.847
73,0,1,0,0.709,-37.29,0.8557,,,,,0.845
74,0,1,1,0.253,-24.57,0.6139,,,,,0.843
75,1,1,1,1.088,-50.13,1.1132,,,,,0.841
76,1,1,1,0.581,-25.1,0.6528,,,,,0.839
77,0,0,0,0.0,-12.38,0.3699,,,,,0.836
78,0,1,0,0.342,-20.24,0.596,,,,,0.834
79,0,0,0,0.0,-16.49,0.5102,,,,,0.832
80,1,1,0,0.546,-32.48,0.7809,,,,,0.83
81,1,0,0,0.0,-23.09,0.5812,,,,,0.828
