episode,S,W,B,eta,train_return,train_cv,eval_score,eval_A,eval_B_obs,eval_B_0.6,epsilon
1,1,0,1,0.0,-72.46,0.6265,,,,,0.998
2,1,0,1,0.0,-87.38,0.6535,,,,,0.996
3,0,1,0,0.043,-73.66,0.6375,,,,,0.994
4,1,0,1,0.0,-53.69,0.5843,,,,,0.992
5,0,0,0,0.0,-57.18,0.5371,,,,,0.989
6,0,1,1,0.105,-48.54,0.6027,,,,,0.987
7,1,0,1,0.0,-108.25,0.8417,,,,,0.985
8,1,1,0,0.761,-106.61,0.8359,,,,,0.983
9,0,1,1,0.723,-83.47,0.7082,,,,,0.981
10,1,1,0,0.7,-101.55,0.916,,,,,0.979
11,1,0,1,0.0,-91.4,0.7458,,,,,0.977
12,0,0,1,0.0,-40.95,0.53,,,,,0.975
13,1,0,0,0.0,-49.46,0.5338,,,,,0.972
14,0,1,0,0.81,-79.85,0.8112,,,,,0.97
15,1,1,0,0.256,-74.89,0.6528,,,,,0.968
16,1,0,1,0.0,-71.03,0.6233,,,,,0.966
17,1,1,0,0.654,-113.25,0.8805,,,,,0.964
18,0,0,1,0.0,-39.36,0.4824,,,,,0.962
19,0,1,1,0.71,-134.84,1.0657,,,,,0.96
20,0,0,0,0.0,-124.03,0.788,,,,,0.958
21,0,1,0,0.599,-123.84,0.9167,,,,,0.955
22,0,0,1,0.0,-68.94,0.6601,,,,,0.953
23,1,0,1,0.0,-60.3,0.5792,,,,,0.951
24,0,1,1,0.576,-107.76,0.7775,,,,,0.949
25,0,1,1,0.523,-87.74,0.7983,,,,,0.947
26,1,1,0,1.268,-97.95,0.772,,,,,0.945
27,0,0,0,0.0,-43.23,0.4643,,,,,0.943
28,0,0,0,0.0,-58.48,0.624,,,,,0.941
29,1,1,0,1.213,-146.31,1.1813,,,,,0.938
30,0,1,0,1.215,-89.28,0.8359,,,,,0.936
31,0,0,1,0.0,-47.64,0.4914,,,,,0.934
32,1,1,0,0.017,-69.06,0.6444,,,,,0.932
33,1,1,0,0.623,-99.28,0.7818,,,,,0.93
34,0,0,0,0.0,-62.0,0.5872,,,,,0.928
35,0,0,0,0.0,-106.78,0.7867,,,,,0.926
36,1,1,0,1.083,-95.9,0.8575,,,,,0.923
37,0,0,0,0.0,-68.85,0.6102,,,,,0.921
38,1,1,1,0.585,-128.15,0.8913,,,,,0.919
39,1,1,0,0.032,-37.63,0.4701,,,,,0.917
40,1,1,1,0.062,-56.27,0.5026,,,,,0.915
41,0,1,1,0.298,-100.1,0.8386,,,,,0.913
42,1,1,0,1.273,-122.05,0.9078,,,,,0.911
43,1,0,1,0.0,-55.1,0.4941,,,,,0.909
44,0,1,1,1.214,-115.15,0.8045,,,,,0.907
45,0,1,1,0.176,-85.2,0.701,,,,,0.904
46,1,0,0,0.0,-55.57,0.5122,,,,,0.902
47,0,1,1,1.145,-94.06,0.793,,,,,0.9
48,1,1,0,0.845,-101.78,0.8401,,,,,0.898
49,0,1,0,1.08,-112.16,0.8699,,,,,0.896
50,1,1,0,1.287,-82.61,0.7812,0.486,0.3499,0.4364,0.6717,0.894
51,0,1,0,0.217,-53.16,0.641,,,,,0.892
52,1,0,0,0.0,-52.14,0.5604,,,,,0.889
53,0,1,1,0.737,-97.0,0.8235,,,,,0.887
54,1,1,0,0.669,-81.64,0.7702,,,,,0.885
55,1,1,0,0.204,-42.79,0.4841,,,,,0.883
56,0,1,1,0.526,-82.88,0.7174,,,,,0.881
57,1,1,0,0.713,-82.32,0.9339,,,,,0.879
58,0,0,0,0.0,-51.52,0.5379,,,,,0.877
59,1,1,1,1.158,-69.29,0.6944,,,,,0.875
60,1,0,1,0.0,-52.19,0.5121,,,,,0.872
61,1,0,0,0.0,-30.57,0.3821,,,,,0.87
