scenario,controller,seed,headway_cv,travel_s,wait_s,wait_direct
Stage A (D+T),NC,1,0.3280570303338879,5009.833333333333,165.02615514550354,164.93803418803418
Stage A (D+T),NC,5,0.3325697648787328,5014.916666666667,167.87364935767667,162.53846153846155
Stage A (D+T),NC,3,0.2894080226144052,5074.833333333333,162.70485948498865,165.27777777777777
Stage A (D+T),NC,0,0.4094921639874145,5114.0,170.7476750164354,170.88247863247864
Stage A (D+T),NC,2,0.5132931925508932,5047.583333333333,186.0168766937988,187.38247863247864
Stage A (D+T),NC,4,0.29911223058833303,5042.916666666667,167.8873202713452,170.55982905982907
Stage A (D+T),NC,9,0.42931316946409004,5047.583333333333,171.5296892357427,173.3653846153846
Stage A (D+T),NC,8,0.29481408767130896,5041.916666666667,166.9646266014897,153.9551282051282
Stage A (D+T),NC,10,0.238972385528641,5053.583333333333,156.88108604713108,160.71153846153845
Stage A (D+T),NC,6,0.2910254272315447,5010.0,163.29301299767405,162.91666666666666
Stage A (D+T),NC,11,0.40858747350819435,5012.0,177.29641249175577,180.95726495726495
Stage A (D+T),NC,7,0.35619671656242247,5089.833333333333,178.9932373400276,178.17521367521368
Stage A (D+T),NC,12,0.3398693222934306,4995.5,163.0541369035509,166.22649572649573
Stage A (D+T),NC,15,0.3162501500498071,5029.25,158.96276351185304,153.32051282051282
Stage A (D+T),NC,14,0.278381299658367,5047.916666666667,159.87896558629137,164.18803418803418
Stage A (D+T),NC,13,0.35153259028695366,5077.583333333333,172.52878209812917,175.57051282051282
Stage A (D+T),NC,16,0.2923435458656723,5045.916666666667,163.97584927888025,154.75213675213675
Stage A (D+T),NC,17,0.24898358197038323,5160.333333333333,160.2273081179082,164.94871794871796
Stage A (D+T),NC,18,0.32655736404724806,5026.166666666667,163.1671797814457,169.73290598290598
Stage A (D+T),NC,20,0.3811812773275774,4984.833333333333,166.5458383385128,176.88675213675214
Stage A (D+T),NC,19,0.28046134897743064,5065.083333333333,168.42737064377613,168.5897435897436
Stage A (D+T),NC,22,0.2561040403819657,5011.416666666667,156.84634708335346,158.32692307692307
Stage A (D+T),NC,21,0.2919553625832369,5019.833333333333,161.25322084127257,162.9551282051282
Stage A (D+T),NC,23,0.25612498667017886,5055.5,166.27240925676668,160.62820512820514
