segment,observed_s,simulated_s,geh,pct_err
5280-5857,370,369,0.05,-0.3
5857-5858,156,156,0.04,+0.3
5858-4540,119,120,0.09,+0.8
4540-467,163,164,0.08,+0.6
467-5859,106,109,0.29,+2.8
5859-5606,193,193,0.00,+0.0
5606-5861,192,192,0.00,+0.0
5861-6360,151,150,0.08,-0.7
6360-484,151,151,0.00,+0.0
484-5405,153,154,0.08,+0.7
5405-5357,150,150,0.00,+0.0
5357-5863,134,134,0.00,+0.0
5863-497,126,125,0.09,-0.8
497-5866,182,180,0.15,-1.1
5866-2738,139,138,0.08,-0.7
2738-2611,91,91,0.00,+0.0
2611-5867,103,103,0.00,+0.0
5867-6372,278,278,0.00,+0.0
6372-4029,222,221,0.07,-0.5
4029-4046,184,184,0.00,+0.0
4046-5870,146,146,0.00,+0.0
5870-5553,244,242,0.13,-0.8
5553-6356,214,212,0.14,-0.9
6356-5871,176,176,0.00,+0.0
5871-5872,179,179,0.00,+0.0
