segment,length_m,observed_s,simulated_s,geh,pct_err,observed_test_s,geh_test,pct_err_test
5280-5857,3487.0,357,358,0.05,+0.3,355,0.16,+0.8
5857-5858,1164.2,146,148,0.16,+1.4,147,0.08,+0.7
5858-4540,895.3,113,115,0.19,+1.8,116,0.09,-0.9
4540-467,1123.8,141,142,0.08,+0.7,139,0.25,+2.2
467-5859,1047.5,110,111,0.10,+0.9,110,0.10,+0.9
5859-5606,1467.5,198,199,0.07,+0.5,198,0.07,+0.5
5606-5861,1383.0,170,171,0.08,+0.6,170,0.08,+0.6
5861-6360,763.3,137,137,0.00,+0.0,139,0.17,-1.4
6360-484,745.3,132,132,0.00,+0.0,131,0.09,+0.8
484-5405,1347.4,137,138,0.09,+0.7,135,0.26,+2.2
5405-5357,697.4,107,108,0.10,+0.9,101,0.68,+6.9
5357-5863,834.5,118,118,0.00,+0.0,118,0.00,+0.0
5863-497,543.6,126,126,0.00,+0.0,125,0.09,+0.8
497-5866,761.6,154,154,0.00,+0.0,154,0.00,+0.0
5866-2738,512.7,116,116,0.00,+0.0,118,0.18,-1.7
2738-2611,458.6,62,64,0.25,+3.2,57,0.90,+12.3
2611-5867,386.3,103,103,0.00,+0.0,103,0.00,+0.0
5867-6372,1196.7,227,226,0.07,-0.4,230,0.26,-1.7
6372-4029,1166.3,152,152,0.00,+0.0,151,0.08,+0.7
4029-4046,1197.2,174,174,0.00,+0.0,176,0.15,-1.1
4046-5870,1184.0,124,124,0.00,+0.0,125,0.09,-0.8
5870-5553,1470.6,248,248,0.00,+0.0,250,0.13,-0.8
5553-6356,858.8,152,151,0.08,-0.7,152,0.08,-0.7
6356-5871,1637.8,155,155,0.00,+0.0,162,0.56,-4.3
5871-5872,1268.7,175,176,0.08,+0.6,176,0.00,+0.0
5872-6361,2679.9,167,169,0.15,+1.2,166,0.23,+1.8
