scenario,controller,seed,headway_cv,travel_s,wait_s,wait_direct
Stage A (D+T),NC,0,0.1382558815286135,5257.388888888889,307.9314781324348,296.3370786516854
Stage A (D+T),NC,6,0.17673898556656378,5205.833333333333,308.49426608627306,295.83567415730334
Stage A (D+T),NC,1,0.15445087595585485,5263.388888888889,307.4434036668997,292.05337078651684
Stage A (D+T),NC,4,0.18108502993048806,5240.611111111111,303.82038827022535,304.5477528089888
Stage A (D+T),NC,2,0.13699796995034064,5277.388888888889,304.3285795623167,300.93398876404495
Stage A (D+T),NC,3,0.15619418325269246,5253.444444444444,304.0183961443296,295.6825842696629
Stage A (D+T),NC,8,0.12528201383514867,5243.333333333333,303.58688727504324,301.5575842696629
Stage A (D+T),NC,9,0.1801030713298138,5252.777777777777,306.6107687886465,297.81601123595505
Stage A (D+T),NC,5,0.1403998544695702,5232.5,305.1894751259584,303.08567415730334
Stage A (D+T),NC,7,0.1351155960504999,5290.222222222223,309.3480492227192,301.2626404494382
Stage A (D+T),NC,10,0.16802022391081206,5237.555555555556,308.97341394135407,300.7823033707865
Stage A (D+T),NC,11,0.10938608504465677,5255.444444444444,303.8729745352557,293.12359550561797
Stage A (D+T),NC,12,0.12485699602322133,5232.833333333333,305.6009854737409,305.98455056179773
Stage A (D+T),NC,13,0.18250473363581038,5254.555555555556,310.74463967116094,302.3792134831461
Stage A (D+T),NC,18,0.16750038657649038,5227.555555555556,309.45123746023836,304.6011235955056
Stage A (D+T),NC,16,0.14065044194634252,5248.555555555556,303.64274130090934,300.80477528089887
Stage A (D+T),NC,14,0.15810704124901637,5264.222222222223,309.00091210513614,293.5997191011236
Stage A (D+T),NC,17,0.1780980151258036,5253.055555555556,309.6948104082471,305.8679775280899
Stage A (D+T),NC,15,0.1872191498731566,5246.555555555556,309.15261209250616,296.7907303370786
Stage A (D+T),NC,19,0.17406324733543863,5216.722222222223,306.8055669888518,296.7092696629214
Stage A (D+T),NC,20,0.12788862998449008,5216.777777777777,302.47787537624777,286.4831460674157
Stage A (D+T),NC,21,0.17782132493208566,5259.444444444444,304.7511121539789,293.77949438202245
Stage A (D+T),NC,23,0.14935191520746113,5198.444444444444,305.0628823259339,298.7134831460674
Stage A (D+T),NC,22,0.14930107078715613,5324.166666666667,303.77984602385715,294.8497191011236
Stage A (D+T),NC,27,0.15568214818879175,5259.722222222223,306.5855621495302,299.4227528089888
Stage A (D+T),NC,24,0.18713610154328095,5239.555555555556,311.29436503454724,302.40870786516854
Stage A (D+T),NC,26,0.19441206092459953,5250.277777777777,309.5240257904691,300.28370786516854
Stage A (D+T),NC,29,0.16575934458842503,5234.0,303.86863905135186,297.6292134831461
Stage A (D+T),NC,25,0.17170924176591543,5291.555555555556,308.49603337509654,309.9957865168539
