scenario,controller,seed,headway_cv,travel_s,wait_s,wait_direct
Ablation B (D+T+B),NC,3,0.6413779009641699,4516.333333333333,532.8218096032276,519.0329218106996
Ablation B (D+T+B),NC,0,0.6756126601130306,4561.8,490.1687976099014,507.20489296636083
Ablation B (D+T+B),NC,2,0.5074954039217734,4578.866666666667,406.31729653419853,409.80456490727533
Ablation B (D+T+B),NC,1,0.44358226224455033,4451.666666666667,366.94744365730173,371.055223880597
Ablation B (D+T+B),NC,6,0.6158113032208382,4563.066666666667,433.61559525933785,446.27594936708863
Ablation B (D+T+B),NC,4,0.4682622599930096,4517.933333333333,384.8139440928548,407.23595505617976
Ablation B (D+T+B),NC,7,0.6300905287403289,4599.133333333333,425.43024394510644,420.4129429892142
Ablation B (D+T+B),NC,8,0.7670796331070732,4611.266666666666,489.7950264160802,501.2697986577181
Ablation B (D+T+B),NC,9,0.5079417208082255,4519.066666666667,396.57866709027337,392.71732954545456
Ablation B (D+T+B),NC,5,0.7317129655457612,4652.4,494.80391113288226,545.6123287671232
Ablation B (D+T+B),NC,10,0.39976651292069854,4534.466666666666,370.4722608974403,388.4814323607427
Ablation B (D+T+B),NC,11,0.7689969121548329,4549.0,471.04783653294874,504.59416058394163
Ablation B (D+T+B),NC,13,0.7230794028739385,4567.6,536.0631900155041,576.1866859623734
Ablation B (D+T+B),NC,18,0.6127232166606568,4518.266666666666,460.1052160624085,470.4978902953587
Ablation B (D+T+B),NC,14,0.6165389567270692,4613.733333333334,431.56452037261715,515.1018276762402
Ablation B (D+T+B),NC,17,0.48904212128746827,4596.666666666667,437.71573473188215,469.3638814016173
Ablation B (D+T+B),NC,12,0.6152590408227858,4605.4,448.9026649181814,455.86772486772486
Ablation B (D+T+B),NC,16,0.5275224138498631,4601.8,418.62189716729523,484.553050397878
Ablation B (D+T+B),NC,19,0.7427415441906361,4581.6,507.2728587983798,496.2595108695652
Ablation B (D+T+B),NC,15,0.4835640836789059,4609.933333333333,370.0530749630129,377.9554390563565
Ablation B (D+T+B),NC,21,0.573106640601748,4513.533333333334,427.3723209983415,459.13461538461536
Ablation B (D+T+B),NC,20,0.4550698801006507,4616.0,400.19819899729964,412.515406162465
Ablation B (D+T+B),NC,22,0.6474937535360987,4600.666666666667,466.8952833869919,498.9151898734177
Ablation B (D+T+B),NC,23,0.5618002263087314,4544.466666666666,421.19211227655995,469.16161616161617
Ablation B (D+T+B),NC,24,0.6223170935012695,4480.066666666667,425.8823477238051,468.0180623973727
Ablation B (D+T+B),NC,29,0.48199017199236616,4452.666666666667,369.022562217667,417.73136645962734
Ablation B (D+T+B),NC,25,0.4645340196088321,4554.066666666667,393.9952272249371,408.05591677503253
Ablation B (D+T+B),NC,26,0.6541936840746237,4625.466666666666,461.9756865067806,461.1347222222222
Ablation B (D+T+B),NC,27,0.4627788656166655,4603.066666666667,355.5057128158855,390.9878869448183
Ablation B (D+T+B),NC,28,0.723580963659762,4651.666666666667,474.98077629894163,495.56348074179743
Ablation B (D+T+B),FH,0,0.5423440781158093,4727.266666666666,443.1484068614182,466.48142414860683
Ablation B (D+T+B),FH,3,0.4595875536204929,4636.466666666666,468.25215658026224,472.24520547945207
Ablation B (D+T+B),FH,1,0.31158430148334887,4632.933333333333,345.9430883478116,358.4173913043478
Ablation B (D+T+B),FH,2,0.3859985398593685,4725.333333333333,382.56424702035673,405.4727793696275
Ablation B (D+T+B),FH,6,0.3369037501303633,4730.533333333334,369.6079822688586,402.5756035578145
