scenario,controller,seed,headway_cv,travel_s,wait_s,wait_direct
Stage A (D+T),NC,1,0.4138107534268188,4329.777777777777,341.2684513516802,333.19218241042347
Stage A (D+T),NC,6,0.7016743213030636,4366.388888888889,413.8228670987962,459.30616740088107
Stage A (D+T),NC,2,0.5487544721805521,4403.0,378.5195380072245,382.4173076923077
Stage A (D+T),NC,0,0.7258095635947407,4382.444444444444,447.920381023157,465.92907801418437
Stage A (D+T),NC,3,0.5828119722909489,4342.666666666667,422.1774397447579,434.94117647058823
Stage A (D+T),NC,7,0.585945822580186,4431.055555555556,391.73545942796824,387.411320754717
Stage A (D+T),NC,4,0.5350511060399319,4381.388888888889,382.48731729360674,381.03264604810994
Stage A (D+T),NC,9,0.5775671138687952,4428.666666666667,391.15717406654284,422.81739130434784
Stage A (D+T),NC,8,0.6687988576423167,4420.777777777777,411.9184940569147,419.08885298869143
Stage A (D+T),NC,5,0.6667577273102661,4477.444444444444,438.50097413544165,447.2825342465753
Stage A (D+T),NC,11,0.5515076344921115,4356.888888888889,363.11767519826896,367.4485436893204
Stage A (D+T),NC,15,0.48137295117300727,4353.166666666667,345.38740441266594,362.19457013574663
Stage A (D+T),NC,10,0.31141353099026003,4371.722222222223,324.7834442698519,334.53258845437614
Stage A (D+T),NC,14,0.5566022776595373,4368.5,382.57410457168,380.4795918367347
Stage A (D+T),NC,12,0.6564384480679742,4396.5,434.77691770031885,452.35019455252916
Stage A (D+T),NC,13,0.6400828051067944,4420.888888888889,434.77888551359445,416.7460035523979
Stage A (D+T),NC,16,0.49570655819360876,4406.611111111111,371.34652921903347,386.99590163934425
Stage A (D+T),NC,18,0.5914959598388139,4365.277777777777,395.5701750442064,374.95229357798166
Stage A (D+T),NC,19,0.4421860541004756,4402.722222222223,360.979180409625,368.3219696969697
Stage A (D+T),NC,17,0.549604959758975,4422.277777777777,406.9527074670047,391.5130597014925
Stage A (D+T),NC,21,0.4759605875196593,4288.833333333333,360.23146178872133,343.1092077087794
Stage A (D+T),NC,22,0.6094788145006493,4381.055555555556,406.9981571665982,397.80075187969925
Stage A (D+T),NC,24,0.6037707592152723,4323.333333333333,402.4850180714681,408.749063670412
Stage A (D+T),NC,20,0.4270620315455517,4450.777777777777,350.00101510590963,360.7145390070922
Stage A (D+T),NC,27,0.38259153261914397,4392.555555555556,318.7027958918966,338.6609848484849
Stage A (D+T),NC,29,0.44629734657792614,4305.888888888889,335.8203386528607,358.30784708249496
Stage A (D+T),NC,25,0.5207524595955654,4380.666666666667,372.1988679920528,363.8249534450652
Stage A (D+T),NC,26,0.6027033708961979,4382.055555555556,400.0441099537088,383.51428571428573
Stage A (D+T),NC,23,0.5896380443395323,4477.222222222223,394.90074001740095,401.5421052631579
Stage A (D+T),NC,28,0.7314883696691153,4514.333333333333,441.2414503121037,470.89247311827955
Stage A (D+T),FH,1,0.3049872232513674,4473.055555555556,326.010826383785,323.1292407108239
Stage A (D+T),FH,0,0.48647166403197895,4549.833333333333,382.2185026379628,379.8688811188811
Stage A (D+T),FH,2,0.3727341247418704,4536.777777777777,345.32898650774325,338.6528301886792
Stage A (D+T),FH,6,0.420974891982966,4536.444444444444,343.71721248756955,380.3585313174946
Stage A (D+T),FH,3,0.41645852529834876,4462.277777777777,378.58729892095016,385.59714795008915
Stage A (D+T),FH,7,0.505909540816262,4601.944444444444,371.8612457083945,363.99439252336447
Stage A (D+T),FH,4,0.31077692013216135,4521.333333333333,335.1105336633789,328.2793867120954
Stage A (D+T),FH,5,0.5044723503301899,4613.333333333333,390.12733093791803,392.4332191780822
Stage A (D+T),FH,8,0.4183114266079577,4569.388888888889,352.7414272755996,379.70786516853934
Stage A (D+T),FH,9,0.4321959893609584,4544.111111111111,355.16560438721666,369.495652173913
Stage A (D+T),FH,11,0.37981135505212266,4524.5,333.7596762362144,338.16129032258067
Stage A (D+T),FH,10,0.2413450160515658,4499.333333333333,318.69551124207044,319.48794063079777
Stage A (D+T),FH,15,0.36551418775788763,4515.277777777777,325.70862437457265,345.0470852017937
Stage A (D+T),FH,14,0.44110128346756916,4510.833333333333,352.04737459774555,358.719836400818
Stage A (D+T),FH,12,0.42128914825077757,4555.555555555556,367.0812698864997,393.1692607003891
Stage A (D+T),FH,13,0.5069908639813302,4546.666666666667,394.67800132896133,384.82978723404256
Stage A (D+T),FH,16,0.31327902945285024,4532.111111111111,330.8143202879155,339.3483606557377
Stage A (D+T),FH,17,0.445134782360211,4490.944444444444,382.37100239469476,360.69832402234636
Stage A (D+T),FH,18,0.41197050825270076,4538.333333333333,358.67543001118014,378.85559566787003
Stage A (D+T),FH,19,0.34358238790282375,4557.0,342.96382269285226,340.6314814814815
Stage A (D+T),FH,21,0.38320871239858695,4456.833333333333,342.50196539934217,354.54700854700855
Stage A (D+T),FH,20,0.3249406944448608,4572.555555555556,328.8453862259456,331.2251773049645
Stage A (D+T),FH,22,0.45984052559519023,4530.722222222223,366.47441323137934,375.6378986866792
Stage A (D+T),FH,26,0.39331885430832736,4526.166666666667,344.6207115663023,343.2982791586998
Stage A (D+T),FH,25,0.3639384659579839,4543.333333333333,335.41107655713773,329.90555555555557
Stage A (D+T),FH,24,0.3334113338110181,4490.388888888889,343.6246977501947,346.24908424908426
Stage A (D+T),FH,23,0.44431052922603287,4600.666666666667,355.91200864985484,343.8754385964912
Stage A (D+T),FH,27,0.3097810870605557,4541.944444444444,310.6702321464413,326.05970149253733
Stage A (D+T),FH,28,0.33392931341425164,4659.055555555556,332.50439436463535,350.85791366906477
Stage A (D+T),FH,29,0.2895776445253071,4479.388888888889,314.68566317997346,342.2795275590551
Stage A (D+T),EH,0,0.34021914533294406,4585.166666666667,351.24700265158435,346.0506993006993
Stage A (D+T),EH,1,0.27616233298247356,4499.444444444444,322.5920202121918,320.3037156704362
Stage A (D+T),EH,2,0.3271550905593249,4605.944444444444,339.70455269269706,337.81698113207545
Stage A (D+T),EH,6,0.27460121232332907,4557.944444444444,316.4043485198252,344.3326133909287
Stage A (D+T),EH,3,0.277999254086782,4517.888888888889,347.9727809229349,353.15686274509807
Stage A (D+T),EH,4,0.23438089079773217,4547.222222222223,323.02529783598584,315.8788395904437
Stage A (D+T),EH,7,0.36670928610365533,4591.611111111111,339.50612857593967,333.24485981308413
Stage A (D+T),EH,5,0.4019717825419335,4642.333333333333,362.36342568078857,376.27054794520546
Stage A (D+T),EH,9,0.3375255377850346,4599.555555555556,338.8322422280554,349.2313043478261
Stage A (D+T),EH,8,0.2675619141387753,4614.555555555556,326.4252022465563,334.8362760834671
Stage A (D+T),EH,10,0.2164335564344322,4528.666666666667,316.46411395927294,332.09479553903344
Stage A (D+T),EH,11,0.35475956074357673,4593.166666666667,332.94906392343756,337.0
Stage A (D+T),EH,15,0.2494739329730778,4562.666666666667,305.7749514749955,321.8532731376975
Stage A (D+T),EH,14,0.34660531485056545,4556.277777777777,334.2984614749288,330.2918367346939
Stage A (D+T),EH,12,0.3717890087645343,4592.722222222223,358.75514623919867,369.3249027237354
Stage A (D+T),EH,16,0.2505104340415948,4573.444444444444,321.9488784987785,326.7909836065574
Stage A (D+T),EH,13,0.4506664046187494,4592.055555555556,379.39781988849063,368.05197132616485
Stage A (D+T),EH,17,0.3888614177168452,4540.833333333333,369.9096668223196,348.2290502793296
Stage A (D+T),EH,18,0.277554993501757,4554.111111111111,330.71784838513923,337.22202166064983
Stage A (D+T),EH,19,0.29680484654429967,4602.888888888889,333.7105271487206,325.15
