scenario,controller,seed,headway_cv,travel_s,wait_s,wait_direct
Ablation W (D+T+W),NC,6,0.7038308461144874,4414.611111111111,414.8253029446208,448.34065934065933
Ablation W (D+T+W),NC,1,0.4168590977854957,4385.722222222223,341.8339445927923,330.5016233766234
Ablation W (D+T+W),NC,2,0.5522140552463889,4459.222222222223,379.58608818542035,378.6168582375479
Ablation W (D+T+W),NC,0,0.7262604346489462,4426.111111111111,448.1132710395757,459.822695035461
Ablation W (D+T+W),NC,7,0.5901509626697214,4487.833333333333,392.39491355206764,390.24105461393594
Ablation W (D+T+W),NC,3,0.5886053728148126,4399.444444444444,423.7711248240066,447.32442067736184
Ablation W (D+T+W),NC,4,0.5404221077488731,4433.333333333333,383.9899861759204,389.4493996569468
Ablation W (D+T+W),NC,8,0.675955322610472,4475.5,413.8015093265869,422.6290322580645
Ablation W (D+T+W),NC,9,0.582214120390888,4479.222222222223,392.66595476329763,425.03478260869565
Ablation W (D+T+W),NC,5,0.6666065384142266,4534.222222222223,437.7663221101265,449.67808219178085
Ablation W (D+T+W),NC,11,0.553872085462949,4416.833333333333,363.52780268669574,369.3585271317829
Ablation W (D+T+W),NC,15,0.4840714159771928,4404.833333333333,345.70590273973573,367.2307692307692
Ablation W (D+T+W),NC,10,0.3173241535669383,4426.944444444444,325.6121291390467,343.06877323420076
Ablation W (D+T+W),NC,14,0.5670307630837109,4427.388888888889,385.1943601952939,382.07739307535644
Ablation W (D+T+W),NC,12,0.6572877247573464,4451.111111111111,434.82389084281675,449.7684824902724
Ablation W (D+T+W),NC,13,0.6434777052598423,4472.0,436.03178149181934,423.79928952042627
Ablation W (D+T+W),NC,18,0.5901387356252619,4421.722222222223,395.6167070822603,383.5036496350365
Ablation W (D+T+W),NC,16,0.4968696884121236,4461.055555555556,371.20123681307143,390.01229508196724
Ablation W (D+T+W),NC,19,0.44022716005083884,4463.944444444444,361.1576795254315,362.32706766917295
Ablation W (D+T+W),NC,17,0.5523509563438453,4477.777777777777,407.97746134717,387.75791433891993
Ablation W (D+T+W),NC,21,0.4828604593333659,4345.0,361.59329121236306,350.5534188034188
Ablation W (D+T+W),NC,22,0.6130656829894471,4438.277777777777,407.58558342280907,397.9249530956848
Ablation W (D+T+W),NC,20,0.43072684225990854,4504.444444444444,350.7767012710912,360.7588652482269
Ablation W (D+T+W),NC,24,0.6002721984573959,4376.055555555556,401.51539109262797,415.9550561797753
Ablation W (D+T+W),NC,29,0.4506327828652071,4361.277777777777,336.5883143432137,368.6841046277666
Ablation W (D+T+W),NC,25,0.5273950496077702,4434.055555555556,373.72116680038084,366.44897959183675
Ablation W (D+T+W),NC,27,0.39368108104826505,4445.722222222223,320.1528482074712,342.84659090909093
Ablation W (D+T+W),NC,26,0.6009652911875822,4433.111111111111,399.1415474032306,374.55703422053233
Ablation W (D+T+W),NC,23,0.5918175572767796,4533.055555555556,395.87707072201465,396.7583187390543
Ablation W (D+T+W),NC,28,0.7298643123191787,4570.5,440.28112581304083,472.14695340501794
Ablation W (D+T+W),FH,0,0.4927898709558818,4595.611111111111,383.40065134507455,381.2062937062937
Ablation W (D+T+W),FH,1,0.31155043485737693,4524.111111111111,326.6084979100374,323.94345718901457
Ablation W (D+T+W),FH,2,0.3762104615750397,4592.944444444444,345.9081986658854,343.1528301886792
Ablation W (D+T+W),FH,3,0.43085192506104664,4511.777777777777,382.729048739889,393.85026737967917
Ablation W (D+T+W),FH,6,0.42481679795163624,4592.444444444444,344.38304658922607,386.8728448275862
Ablation W (D+T+W),FH,4,0.32445975487823225,4571.555555555556,337.9455127277563,330.8194207836457
Ablation W (D+T+W),FH,7,0.5123009600531492,4654.0,374.10103804305714,371.33519553072625
Ablation W (D+T+W),FH,5,0.5048014021191477,4662.833333333333,390.11066362441164,394.375
Ablation W (D+T+W),FH,8,0.4284137751404202,4623.611111111111,354.71016414944245,380.3996789727127
Ablation W (D+T+W),FH,9,0.43652112462157927,4601.333333333333,356.2702112058554,373.88347826086954
Ablation W (D+T+W),FH,10,0.25205525818935126,4559.944444444444,320.0099051273005,327.88703703703703
