scenario,controller,seed,headway_cv,travel_s,wait_s,wait_direct
Stage B (D+T+S+W+B),NC,3,0.9216756659251916,4588.823529411765,629.4774651061568,611.0846560846561
Stage B (D+T+S+W+B),NC,8,0.7914891387157785,4708.176470588235,471.06414502396507,520.5615183246073
Stage B (D+T+S+W+B),NC,1,1.0020550129094743,5155.411764705882,590.2855300616737,625.9624161073825
Stage B (D+T+S+W+B),NC,5,0.8477546407719598,5415.35294117647,588.17502402149,618.1090289608177
Stage B (D+T+S+W+B),NC,2,0.7134371569793474,5502.117647058823,438.26412344758546,490.11986863711
Stage B (D+T+S+W+B),NC,6,0.8516967589695152,5115.35294117647,530.5917256290217,560.2087155963303
Stage B (D+T+S+W+B),NC,7,1.0366941184886964,5147.35294117647,543.3310926060635,539.8657314629259
Stage B (D+T+S+W+B),NC,4,0.8393698078604321,5716.64705882353,532.6660039716568,525.1792349726776
Stage B (D+T+S+W+B),NC,9,1.1050826930076831,5770.117647058823,707.3861122803495,830.1920199501246
Stage B (D+T+S+W+B),NC,0,0.8554659997440267,6398.117647058823,567.8104627118413,1044.9024865919064
Stage B (D+T+S+W+B),NC,10,0.8744827363928903,5137.882352941177,587.0152432707491,582.3840445269017
Stage B (D+T+S+W+B),NC,15,0.837293083570142,4871.941176470588,479.24603460578766,484.3716216216216
Stage B (D+T+S+W+B),NC,14,0.9790339751268818,5029.588235294118,541.8402299123777,618.7483870967742
Stage B (D+T+S+W+B),NC,12,0.9805080040914755,5328.235294117647,577.3511563867868,579.2007722007722
Stage B (D+T+S+W+B),NC,17,1.0087952312503863,5093.588235294118,606.4391173150842,613.4648956356737
Stage B (D+T+S+W+B),NC,11,0.9706294569282495,5424.058823529412,553.9534657145405,589.5627906976745
Stage B (D+T+S+W+B),NC,13,0.9495383489253275,5440.117647058823,619.6411336166728,633.128870292887
Stage B (D+T+S+W+B),NC,16,0.6882599589890532,5275.64705882353,487.41761619987454,498.02027027027026
Stage B (D+T+S+W+B),NC,18,0.8718357164683315,5252.529411764706,583.2120695035384,646.1891891891892
Stage B (D+T+S+W+B),NC,19,0.7974256251193673,5489.882352941177,500.1879696276311,499.5198451113262
Stage B (D+T+S+W+B),NC,21,0.8324593141029022,4660.823529411765,560.4271470778137,546.1122881355932
Stage B (D+T+S+W+B),NC,22,0.9965261673506701,5351.0,607.4733995640609,588.9940334128878
Stage B (D+T+S+W+B),NC,20,1.015362745439158,5815.058823529412,699.4746341574431,756.8881278538813
Stage B (D+T+S+W+B),NC,23,0.8968651281506166,5561.470588235294,513.1899916925923,533.9228529839884
Stage B (D+T+S+W+B),NC,25,0.9449330720328619,5155.64705882353,580.4758107600292,573.1913214990138
Stage B (D+T+S+W+B),NC,27,0.7558229989022767,5050.705882352941,413.3024192085699,577.5896358543417
Stage B (D+T+S+W+B),NC,26,1.0243389819690145,5655.823529411765,614.4133233651198,621.5652173913044
Stage B (D+T+S+W+B),NC,24,0.803191725174589,5371.882352941177,458.3705646422869,475.4184988627748
Stage B (D+T+S+W+B),NC,28,1.0738282291289158,5672.411764705882,651.2763781673052,707.4615384615385
Stage B (D+T+S+W+B),NC,29,0.8683945298580892,5367.058823529412,472.0017094893227,520.9355716878403
Stage B (D+T+S+W+B),FH,3,0.8638538982003744,4700.058823529412,596.7042795648802,565.8007054673722
Stage B (D+T+S+W+B),FH,2,0.7205938434074189,5650.0,447.9913131016671,499.02463054187194
Stage B (D+T+S+W+B),FH,1,0.9532052250566518,5339.176470588235,575.0620258266349,595.5294117647059
Stage B (D+T+S+W+B),FH,5,0.7835257283813365,5464.176470588235,552.8189690015594,567.252129471891
Stage B (D+T+S+W+B),FH,0,0.7741052114011688,6486.176470588235,534.5481695919395,1035.7924987822698
Stage B (D+T+S+W+B),FH,6,0.8120133628219013,5275.941176470588,524.4900749670188,551.2973593570608
Stage B (D+T+S+W+B),FH,4,0.7857231278285185,5825.294117647059,507.29405262661396,500.41540130151844
Stage B (D+T+S+W+B),FH,7,0.9370358316559781,5365.411764705882,505.07110752879595,489.8189054726368
Stage B (D+T+S+W+B),FH,8,0.7195240292518827,4842.411764705882,451.2820955370443,463.629388816645
Stage B (D+T+S+W+B),FH,9,1.057042609601368,5893.176470588235,670.3234262580958,769.1511627906976
Stage B (D+T+S+W+B),FH,10,0.8591832648719246,5320.764705882353,580.2870721608001,567.3029739776952
Stage B (D+T+S+W+B),FH,12,0.8974713761692779,5438.529411764706,534.6138251434135,523.8436293436293
Stage B (D+T+S+W+B),FH,15,0.8025472339521489,5042.588235294118,465.4720009229798,471.3199105145414
Stage B (D+T+S+W+B),FH,14,0.8754279081847576,5135.588235294118,492.3851147962217,550.3530655391121
Stage B (D+T+S+W+B),FH,11,0.8767529333424222,5560.882352941177,519.3720761109939,554.9191176470588
Stage B (D+T+S+W+B),FH,13,0.8784561750528167,5464.941176470588,583.664387149904,597.9071906354515
Stage B (D+T+S+W+B),FH,17,0.9539477504849267,5274.058823529412,589.9706328492318,590.1161048689139
Stage B (D+T+S+W+B),FH,16,0.6391884504649415,5377.235294117647,469.25950291271107,478.71875
Stage B (D+T+S+W+B),FH,18,0.7735103790111973,5375.411764705882,534.0345257556661,584.7947635135135
Stage B (D+T+S+W+B),FH,19,0.7253051061086903,5685.470588235294,472.58214426488485,466.0674373795761
