scenario,controller,seed,headway_cv,travel_s,wait_s
Baseline,NC,0,0.14653138018780504,976.5,201.8918918918919
Baseline,NC,1,0.17155026403970766,965.0,191.75675675675674
Baseline,NC,2,0.07976630760385077,932.25,184.46846846846847
Baseline,NC,3,0.07881731593147821,933.0,184.3153153153153
Baseline,NC,4,0.07811026697438161,950.125,197.80180180180182
Baseline,NC,5,0.11427587697618762,951.875,185.52252252252254
Baseline,NC,6,0.07404588433902673,950.375,192.27927927927928
Baseline,NC,7,0.20488489959562167,975.625,196.61261261261262
Baseline,NC,8,0.13550748363848086,934.0,201.46846846846847
Baseline,NC,9,0.1452261217775482,955.75,186.63063063063063
Baseline,NC,10,0.1092759226407917,942.625,187.8108108108108
Baseline,NC,11,0.21811790193086292,975.375,195.33333333333334
Baseline,NC,12,0.1372768133884167,942.125,186.27927927927928
Baseline,NC,13,0.14719129987972088,949.875,179.45945945945945
Baseline,NC,14,0.06797791574996959,950.5,187.1081081081081
Baseline,NC,15,0.15048933901727365,956.375,196.87387387387386
Baseline,NC,16,0.13626826514240659,970.375,189.19819819819818
Baseline,NC,17,0.0928009412408303,949.875,182.72072072072072
Baseline,NC,18,0.1043254756509548,932.625,186.25225225225225
Baseline,NC,19,0.13629025462262948,960.5,202.63063063063063
Baseline,NC,20,0.195658033880493,950.375,188.87387387387386
Baseline,NC,21,0.14117536971155378,933.125,187.24324324324326
Baseline,NC,22,0.08481673311158351,931.875,189.8918918918919
Baseline,NC,23,0.13329747724846755,943.5,188.34234234234233
Baseline,NC,24,0.12233185048696878,947.0,196.66666666666666
Baseline,NC,25,0.06031327197797907,955.625,183.36936936936937
Baseline,NC,26,0.08626067571875325,950.0,189.8918918918919
Baseline,NC,27,0.13943951390663986,962.875,189.11711711711712
Baseline,NC,28,0.08763974015117977,957.375,185.11711711711712
Baseline,NC,29,0.08896600985367228,937.375,190.77477477477478
Baseline,EH,0,0.106960159824669,1023.125,203.8108108108108
Baseline,EH,1,0.11895276980026095,999.375,185.7117117117117
Baseline,EH,2,0.06001623464765697,954.25,193.12612612612614
Baseline,EH,3,0.07843865581960446,968.875,184.33333333333334
Baseline,EH,4,0.06750896928348069,967.25,197.63063063063063
Baseline,EH,5,0.1085634235857241,985.875,181.05405405405406
Baseline,EH,6,0.07651274760528155,984.75,191.21621621621622
Baseline,EH,7,0.15668662263807603,1048.375,191.83783783783784
Baseline,EH,8,0.09587019541343464,983.25,191.11711711711712
Baseline,EH,9,0.10774780809844045,996.875,185.9009009009009
