weather,controller,metric,mean,ci_low,ci_high,n
observed rain,NC,headway_cv,0.6088687043697519,0.5636585513825184,0.6519155107834325,30
0.3,NC,headway_cv,0.6850980668089701,0.6495361758332368,0.7200403432060902,30
0.6,NC,headway_cv,0.8198664751656037,0.7843644214985505,0.8564496188760882,30
0.8,NC,headway_cv,0.8759791482568435,0.8400046040573985,0.9124560789171827,30
1.0,NC,headway_cv,0.9044748674114435,0.8669724097764839,0.9423615989832808,30
1.3,NC,headway_cv,0.9294250232114452,0.8898649438151585,0.9684453354711307,30
observed rain,FH,headway_cv,0.4575486455177263,0.42677105723006775,0.490413245826963,30
0.3,FH,headway_cv,0.574386700108816,0.5407118976135364,0.6081705730671904,30
0.6,FH,headway_cv,0.7422550906452897,0.7080043411454467,0.7783603873667267,30
0.8,FH,headway_cv,0.8039245067495115,0.7661552950463117,0.8416088483944806,30
1.0,FH,headway_cv,0.8361739130067055,0.798115565148275,0.87317060060196,30
1.3,FH,headway_cv,0.8623831816547126,0.8255656593374587,0.9000004643472458,30
observed rain,EH,headway_cv,0.40377474384995565,0.3780639937789351,0.433714375714471,30
0.3,EH,headway_cv,0.534272612182604,0.4997098515974476,0.571183422908882,30
0.6,EH,headway_cv,0.7251479797055828,0.6872181546582933,0.7644886078840589,30
0.8,EH,headway_cv,0.7955392688108368,0.7565412509322561,0.8347971982398977,30
1.0,EH,headway_cv,0.8323104076167355,0.793851263851224,0.87296472075966,30
1.3,EH,headway_cv,0.8637404360397268,0.824470765196473,0.9044488926770224,30
observed rain,NC,wait_s,414.9852175362099,397.8992532236038,432.1935882648342,30
0.3,NC,wait_s,445.4596478776009,427.86541876283496,462.9893948029108,30
0.6,NC,wait_s,508.85817023499146,487.20647358048325,531.6240623735274,30
0.8,NC,wait_s,539.7236774494354,515.6505967531348,564.2943478838761,30
1.0,NC,wait_s,556.8587033045798,532.4172287449968,581.9291107616367,30
1.3,NC,wait_s,572.2848502960085,545.4338903012335,599.9509056491947,30
observed rain,FH,wait_s,374.1727106238955,362.32093207046336,388.10643694424107,30
0.3,FH,wait_s,410.8013238277438,395.3189476537703,426.36198050531283,30
0.6,FH,wait_s,478.2770019986617,459.2575290843648,499.4398115932933,30
0.8,FH,wait_s,509.12182436823895,486.2140163914405,533.3831828282028,30
1.0,FH,wait_s,526.3583709523459,502.0857769433678,550.8182292254731,30
1.3,FH,wait_s,541.037679812772,516.0845487955713,565.9469486764241,30
observed rain,EH,wait_s,361.25366521611164,350.70965813460435,373.45304175575654,30
0.3,EH,wait_s,398.71915933049036,383.72365894507993,414.4382190202228,30
0.6,EH,wait_s,472.02688754349737,451.6863260016511,493.68587297522515,30
0.8,EH,wait_s,505.43324286215636,482.7518187232508,529.5784979799448,30
1.0,EH,wait_s,524.2588265880676,500.07123539304746,548.8261601462646,30
1.3,EH,wait_s,541.1023509026551,515.7385216888614,567.4137950260733,30
