day,split
20210630,calibration
20210701,test
20210702,calibration
20210705,test
20210706,calibration
20210707,test
20210708,calibration
20210709,test
20210712,calibration
20210713,test
20210714,calibration
20210715,test
20210716,calibration
20210719,test
20210720,calibration
20210721,test
20210722,calibration
20210723,test
20210726,calibration
20210727,test
20210728,calibration
20210729,test
20210730,calibration
20210802,test
20210803,calibration
20210804,test
20210805,calibration
20210806,test
20210809,calibration
20210810,test
20210811,calibration
20210812,test
20210813,calibration
20210816,test
20210817,calibration
20210818,test
20210819,calibration
20210820,test
20210823,calibration
20210824,test
20210825,calibration
20210826,test
20210827,calibration
20210830,test
20210831,calibration
20210901,test
20210902,calibration
20210903,test
20210907,calibration
20210908,test
20210909,calibration
20210910,test
20210913,calibration
20210914,test
20210915,calibration
20210916,test
20210917,calibration
20210920,test
20210921,calibration
20210922,test
20210923,calibration
20210924,test
20210927,calibration
20210928,test
20210929,calibration
20210930,test
20211001,calibration
20211004,test
20211005,calibration
20211006,test
20211007,calibration
20211008,test
20211011,calibration
20211012,test
20211013,calibration
20211014,test
20211015,calibration
20211018,test
20211019,calibration
20211020,test
20211021,calibration
20211022,test
20211025,calibration
20211026,test
20211027,calibration
20211028,test
20211029,calibration
20211101,test
20211102,calibration
20211103,test
20211104,calibration
20211105,test
20211108,calibration
20211109,test
20211110,calibration
20211111,test
20211112,calibration
20211115,test
20211116,calibration
20211117,test
20211118,calibration
20211119,test
20211122,calibration
20211123,test
20211124,calibration
20211129,test
20211130,calibration
20211201,test
20211202,calibration
20211203,test
20211206,calibration
20211207,test
20211208,calibration
20211209,test
20211210,calibration
20211213,test
20211214,calibration
20211215,test
20211216,calibration
20211217,test
20211220,calibration
20211221,test
20211222,calibration
20211223,test
20211224,calibration
20211227,test
20211228,calibration
20211229,test
20211230,calibration
