period,bs_id,events,mean_boardings,mean_alightings,trips,boardings_per_trip,alightings_per_trip,served_share,served_share_test,dwell_median_s,runs,run_median_s,run_median_test_s,run_log_sd_dry,run_log_sd_pairwise
ALL,5280,1520,1.364,0.441,3197,0.648,0.21,0.475,0.469,14.0,1172,357.0,355.0,0.159,0.181
ALL,5857,2137,2.424,0.348,3204,1.617,0.232,0.667,0.655,21.0,1539,146.0,147.0,0.184,0.147
ALL,5858,1999,2.103,0.384,3220,1.305,0.239,0.621,0.627,17.0,1935,113.0,116.0,0.411,0.263
ALL,4540,2830,5.089,1.331,3211,4.485,1.173,0.881,0.886,36.0,2074,141.0,139.0,0.272,0.232
ALL,467,2148,2.002,0.966,3211,1.339,0.646,0.669,0.653,18.0,2039,110.0,110.0,0.276,0.19
ALL,5859,2820,3.088,2.381,3254,2.676,2.064,0.867,0.873,31.0,2530,198.0,198.0,0.296,0.264
ALL,5606,2727,2.096,2.088,3233,1.768,1.761,0.843,0.848,22.0,1875,170.0,170.0,0.215,0.196
ALL,5861,2043,1.223,1.077,3219,0.776,0.683,0.635,0.641,15.0,1391,137.0,139.0,0.442,0.284
ALL,6360,1926,1.987,0.415,3254,1.176,0.246,0.592,0.593,15.0,1522,132.0,131.0,0.425,0.239
ALL,484,2192,2.315,0.694,3270,1.552,0.465,0.67,0.659,16.0,1604,137.0,135.0,0.234,0.18
ALL,5405,2085,1.208,1.038,3270,0.77,0.662,0.638,0.637,14.0,1127,107.0,101.0,0.546,0.351
ALL,5357,1564,0.968,0.881,3270,0.463,0.421,0.478,0.489,13.0,1322,118.0,118.0,0.314,0.239
ALL,5863,2436,0.906,2.489,3252,0.678,1.864,0.749,0.754,17.0,2312,126.0,125.0,0.232,0.22
ALL,497,2844,1.651,4.148,3252,1.444,3.628,0.875,0.88,20.0,1780,154.0,154.0,0.23,0.217
ALL,5866,1884,0.969,1.111,3253,0.561,0.643,0.579,0.59,14.0,847,116.0,118.0,0.317,0.207
ALL,2738,1271,0.762,1.033,3253,0.298,0.404,0.391,0.389,14.0,918,62.0,57.0,0.543,0.221
ALL,2611,2049,0.766,1.62,3253,0.482,1.021,0.63,0.636,16.0,1943,103.0,103.0,0.205,0.199
ALL,5867,2902,3.215,4.454,3286,2.839,3.933,0.883,0.895,31.0,1734,227.0,230.0,0.244,0.199
ALL,6372,1826,0.954,0.938,3246,0.537,0.528,0.563,0.536,14.0,1089,152.0,151.0,0.219,0.195
ALL,4029,1613,0.592,1.542,3276,0.292,0.759,0.492,0.516,14.0,1462,174.0,176.0,0.182,0.157
ALL,4046,2673,1.823,2.378,3288,1.482,1.933,0.813,0.824,21.0,1646,124.0,125.0,0.308,0.219
ALL,5870,1795,0.606,1.605,3288,0.331,0.876,0.546,0.546,14.0,1643,248.0,250.0,0.164,0.14
ALL,5553,2745,1.897,2.37,3279,1.588,1.984,0.837,0.831,28.0,1315,152.0,152.0,0.223,0.213
ALL,6356,1421,0.738,1.031,3279,0.32,0.447,0.433,0.433,13.0,1032,155.0,162.0,0.314,0.175
ALL,5871,1910,0.881,1.376,3295,0.511,0.798,0.58,0.591,14.0,1587,175.0,176.0,0.262,0.172
ALL,5872,2291,0.804,2.067,3252,0.566,1.456,0.704,0.716,15.0,1364,167.0,166.0,0.118,0.103
ALL,6361,1591,0.219,1.755,3252,0.107,0.859,0.489,0.502,14.0,0,,,,
ALL,5304,2990,7.306,0.106,3152,6.93,0.101,0.949,0.951,977.5,0,,,,
AM,5280,432,1.387,0.289,862,0.695,0.145,0.501,0.513,14.0,354,351.0,349.0,0.206,0.181
AM,5857,636,2.679,0.417,902,1.889,0.294,0.705,0.707,22.0,523,131.0,130.0,0.154,0.147
AM,5858,643,2.691,0.32,880,1.966,0.234,0.731,0.752,19.0,635,98.0,101.0,0.296,0.263
AM,4540,790,5.933,1.247,864,5.425,1.14,0.914,0.932,39.0,664,139.0,137.0,0.272,0.232
AM,467,687,3.026,0.962,864,2.406,0.765,0.795,0.805,22.0,667,111.0,112.0,0.273,0.19
AM,5859,796,2.706,2.144,907,2.375,1.882,0.878,0.912,27.0,752,203.0,203.0,0.305,0.264
AM,5606,776,2.763,2.126,869,2.467,1.899,0.893,0.908,26.0,590,165.0,168.0,0.22,0.196
AM,5861,625,0.982,1.429,869,0.707,1.028,0.719,0.717,15.0,499,133.0,137.0,0.516,0.284
AM,6360,625,2.37,0.333,904,1.638,0.23,0.691,0.677,15.0,544,140.0,138.0,0.411,0.239
AM,484,697,3.176,0.683,895,2.474,0.532,0.779,0.784,18.0,554,138.0,135.0,0.233,0.18
AM,5405,639,1.207,1.214,879,0.877,0.883,0.727,0.742,15.0,364,104.0,95.5,0.564,0.351
AM,5357,470,1.0,0.806,879,0.535,0.431,0.535,0.51,14.0,415,108.0,104.0,0.347,0.239
AM,5863,700,0.607,3.301,902,0.471,2.562,0.776,0.782,17.0,674,113.0,109.0,0.384,0.22
AM,497,791,0.968,6.249,902,0.849,5.48,0.877,0.89,20.0,553,156.0,157.0,0.231,0.217
AM,5866,575,0.506,1.475,861,0.338,0.985,0.668,0.666,14.0,277,118.0,120.0,0.161,0.207
AM,2738,381,0.677,1.079,861,0.3,0.477,0.443,0.453,14.0,294,52.0,50.0,0.209,0.221
AM,2611,631,0.482,1.933,861,0.353,1.417,0.733,0.722,15.0,613,105.0,106.0,0.533,0.199
AM,5867,826,2.01,5.37,894,1.857,4.962,0.924,0.91,27.0,490,204.5,208.0,0.225,0.199
AM,6372,514,0.87,0.881,845,0.529,0.536,0.608,0.584,14.0,325,145.0,144.0,0.129,0.195
AM,4029,463,0.263,1.393,875,0.139,0.737,0.529,0.536,13.0,396,180.5,187.0,0.154,0.157
AM,4046,697,1.317,1.709,887,1.035,1.343,0.786,0.79,19.0,380,109.0,105.0,0.213,0.219
AM,5870,434,0.555,1.182,856,0.282,0.599,0.507,0.489,13.0,390,248.0,250.0,0.236,0.14
AM,5553,745,1.405,1.937,884,1.184,1.632,0.843,0.8,22.0,326,139.5,138.0,0.235,0.213
AM,6356,370,0.784,0.735,884,0.328,0.308,0.419,0.406,12.0,236,132.0,127.0,0.266,0.175
AM,5871,455,0.76,1.004,857,0.404,0.533,0.531,0.532,13.0,368,160.0,161.0,0.299,0.172
AM,5872,590,0.754,1.483,841,0.529,1.04,0.702,0.696,14.0,328,163.0,161.5,0.114,0.103
