seq,x,y
0,5709.69,13527.21
1,5700.43,13387.82
2,5595.81,12671.66
3,5570.72,12310.75
4,5541.33,12085.10
5,5488.29,11911.47
6,5074.90,10761.49
7,4863.34,10296.82
8,3558.09,7651.96
9,3458.46,7552.83
10,2703.97,6922.53
11,2685.71,6919.78
12,2498.84,6785.89
13,2403.32,6684.85
14,2323.83,6561.76
15,2144.69,6166.37
16,1854.66,5653.56
17,1701.28,5356.07
18,761.41,3638.00
19,557.54,3271.55
20,496.64,3182.12
21,477.71,3103.98
22,457.59,2739.52
23,428.14,2532.43
24,-529.76,799.89
25,-528.04,774.94
26,-378.25,452.80
27,-374.62,426.90
28,-460.06,-659.30
29,-433.41,-769.45
30,-1028.04,-2620.81
31,-1002.44,-2679.68
32,-1001.18,-2714.93
33,-1098.80,-3012.40
34,-1157.03,-3144.95
35,-1082.42,-3252.81
36,-920.87,-3431.14
37,-1447.87,-5059.55
38,-1500.17,-5357.00
39,-1525.27,-5407.95
40,-1841.76,-5832.73
41,-1946.50,-5994.17
42,-2263.02,-6577.79
43,-2483.09,-7064.59
44,-2647.90,-7376.69
45,-2882.93,-7253.23
46,-2815.30,-7129.47
47,-2794.31,-7128.03
48,-2758.84,-7171.97
49,-2820.91,-7286.05
50,-2647.90,-7376.69
51,-3429.98,-8788.03
52,-3559.34,-9056.75
53,-3663.20,-9384.96
54,-3807.09,-9997.36
55,-4062.23,-10724.53
56,-4644.72,-12864.76
57,-4661.20,-12910.60
58,-4704.33,-12976.35
59,-4842.12,-13107.57
