bs_id,arclen_m,align_err_m,x,y
5280,0.08,5.07,5704.62,13527.46
5857,3487.09,14.67,4797.01,10195.57
5858,4651.31,9.85,4286.11,9149.42
4540,5546.57,9.02,3890.65,8346.23
467,6670.39,6.03,3290.74,7420.57
5859,7717.88,3.67,2475.89,6766.95
5606,9185.40,9.39,1760.05,5490.54
5861,10568.40,6.55,1102.07,4274.38
6360,11331.68,7.50,734.69,3605.39
484,12076.98,5.01,462.84,2925.68
5405,13424.33,10.43,-41.62,1704.33
5357,14121.73,3.68,-366.71,1087.18
5863,14956.23,1.34,-383.63,329.54
497,15499.86,5.35,-430.25,-212.11
5866,16261.48,0.65,-495.23,-959.80
2738,16774.13,5.91,-657.01,-1446.28
2611,17232.69,4.32,-795.72,-1883.36
5867,17618.97,2.91,-912.51,-2251.57
6372,18815.66,9.84,-1008.25,-3349.34
4029,19981.97,11.03,-1253.75,-4423.90
4046,21179.19,8.60,-1636.04,-5542.23
5870,22363.17,10.33,-2258.64,-6548.04
5553,23833.81,8.80,-2800.59,-7230.29
6356,24692.56,6.47,-2935.36,-7908.78
5871,26330.41,4.88,-3663.79,-9370.68
5872,27599.15,16.34,-4029.84,-10582.86
6361,30279.08,9.06,-4835.75,-13114.00
