bs_id,count,mean_lat,mean_lon,mean_seq
5304,11673,30.417986,-97.668441,2.00
5280,5800,30.410560,-97.677949,3.00
5857,7868,30.380418,-97.687391,3.54
5858,7721,30.370954,-97.692706,4.28
4540,10983,30.363688,-97.696820,4.89
467,8044,30.355314,-97.703061,5.95
5859,10912,30.349401,-97.711538,6.50
5606,10310,30.337854,-97.718985,7.43
5861,7042,30.326852,-97.725830,8.49
6360,6568,30.320800,-97.729652,9.09
484,7029,30.314651,-97.732480,9.74
5405,7188,30.303602,-97.737728,10.35
5357,5410,30.298019,-97.741110,11.06
5863,8738,30.291165,-97.741286,11.37
497,10371,30.286265,-97.741771,11.99
5866,6724,30.279501,-97.742447,13.11
2738,4732,30.275100,-97.744130,13.80
2611,7536,30.271146,-97.745573,14.10
5867,11227,30.267815,-97.746788,14.23
6372,6847,30.257884,-97.747784,15.70
4029,5978,30.248163,-97.750338,16.38
4046,10104,30.238046,-97.754315,16.54
5870,6976,30.228947,-97.760792,17.58
5553,10225,30.222775,-97.766430,17.91
6356,5557,30.216637,-97.767832,19.26
5871,7163,30.203412,-97.775410,19.70
5872,8844,30.192446,-97.779218,20.15
5873,5988,30.162932,-97.790503,21.01
6361,5863,30.169548,-97.787602,21.44
