bs_id,seq,mean_boardings,mean_alightings,dwell_s,run_s,dist_m
5304,2.0,6.15,0.26,781.0,586.0,1.88
5280,3.0,1.39,0.43,15.0,370.0,2.15
5858,4.0,1.98,0.39,17.0,119.0,0.56
5857,4.0,2.22,0.32,20.0,155.5,0.72
4540,5.0,5.02,1.24,36.0,163.0,0.7
467,6.0,1.74,0.96,17.0,106.0,0.66
5859,7.0,2.85,2.26,30.0,193.0,0.91
5606,8.0,1.96,1.89,22.0,192.0,0.86
5861,9.0,1.09,0.99,15.0,151.0,0.47
6360,9.0,1.67,0.46,14.0,151.0,0.47
484,10.0,1.94,0.69,15.0,153.0,0.84
5405,11.0,1.09,0.95,14.0,150.0,0.7
5357,11.0,0.89,0.87,13.5,134.0,0.52
5863,12.0,0.97,2.06,16.0,126.0,0.35
497,12.0,1.53,3.21,20.0,182.0,0.48
5866,13.0,0.91,1.1,14.0,139.0,0.6
2738,14.0,0.72,1.0,14.0,91.0,0.29
2611,14.0,0.66,1.59,15.0,103.0,0.24
5867,15.0,3.12,4.06,31.0,278.0,0.75
6372,16.0,0.93,1.01,15.0,222.0,0.73
4046,17.0,1.79,2.22,20.0,146.0,0.74
4029,17.0,0.72,1.33,14.0,184.0,0.75
5553,18.0,1.67,2.22,27.0,214.0,0.53
5870,18.0,0.56,1.63,14.0,244.0,0.92
6356,20.0,0.67,1.14,14.0,176.0,1.02
5871,20.0,0.8,1.33,14.0,179.0,0.79
5872,21.0,0.73,1.99,16.0,191.0,1.68
5873,22.0,0.26,5.26,583.0,0.0,0.0
6361,22.0,0.19,1.7,14.0,208.0,0.67
